OBJECTID_1,OBJECTID,CustomerID,Count_,Country,State,City,Zip_Code,Lat_Long,Lat_Long_X,Lat_Long_Y,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Reason,NEAR_FID,NEAR_DIST,BUFF_DIST,No_in_mile,Shape_Length,Shape_Area
1,1,3668-QPYBK,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",-118.272783000000004,33.964131000000002,33.964131000000002,-118.272783000000004,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.850000000000001,108.150000000000006,Yes,1,86,3239,Competitor made better offer,1313,7201.303379934084660,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2,2,9237-HQITU,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",-118.307419999999993,34.059280999999999,34.059280999999999,-118.307419999999993,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.700000000000003,151.650000000000006,Yes,1,67,2701,Moved,1301,0.000000000000000,5280.000000000000000,11,33175.218421908211894,87582576.633837684988976
3,3,9305-CDSKC,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",-118.293953000000002,34.048012999999997,34.048012999999997,-118.293953000000002,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.650000000000006,820.500000000000000,Yes,1,86,5372,Moved,2,5787.496774979931615,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
4,4,7892-POOKP,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",-118.315708999999998,34.062125000000002,34.062125000000002,-118.315708999999998,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.799999999999997,3046.050000000000182,Yes,1,84,5003,Moved,1302,0.000000000000000,5280.000000000000000,11,33175.218421908211894,87582576.633837684988976
5,5,0280-XJGEX,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",-118.266293000000005,34.039223999999997,34.039223999999997,-118.266293000000005,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.700000000000003,5036.300000000000182,Yes,1,89,5340,Competitor had better devices,441,4613.649684503197022,5280.000000000000000,5,33175.218421908211894,87582576.633837684988976
6,6,4190-MFLUW,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",-118.309867999999994,34.066367000000000,34.066367000000000,-118.309867999999994,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.200000000000003,528.350000000000023,Yes,1,78,5925,Competitor offered higher download speeds,442,0.000000000000000,5280.000000000000000,13,33175.218421908211894,87582576.633837684988976
7,7,8779-QRDMV,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",-118.156582000000000,34.023809999999997,34.023809999999997,-118.156582000000000,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.649999999999999,39.649999999999999,Yes,1,100,5433,Competitor offered more data,501,10062.692220145499959,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
8,8,1066-JKSGK,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",-118.435479000000001,34.066302999999998,34.066302999999998,-118.435479000000001,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.149999999999999,20.149999999999999,Yes,1,92,4832,Competitor made better offer,868,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
9,9,6467-CHFZW,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",-118.326842999999997,34.099868999999998,34.099868999999998,-118.326842999999997,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.349999999999994,4749.149999999999636,Yes,1,77,5789,Competitor had better devices,869,0.000000000000000,5280.000000000000000,5,33175.218421908211894,87582576.633837684988976
10,10,8665-UTDHZ,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",-118.294824000000006,34.089953000000001,34.089953000000001,-118.294824000000006,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.199999999999999,30.199999999999999,Yes,1,97,2915,Competitor had better devices,1309,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
